< GPS_RAW_INT {time_usec : 340563000, fix_type : 6, lat : -353631575, lon : 1491649914, alt : 606450, eph : 121, epv : 200, vel : 961, cog : 31214, satellites_visible : 10, alt_ellipsoid : 606450, h_acc : 300, v_acc : 300, vel_acc : 0, hdg_acc : 0, yaw : 0}
< GPS_RAW_INT {time_usec : 340763000, fix_type : 6, lat : -353631459, lon : 1491649757, alt : 606450, eph : 121, epv : 200, vel : 970, cog : 31214, satellites_visible : 10, alt_ellipsoid : 606450, h_acc : 300, v_acc : 300, vel_acc : 0, hdg_acc : 0, yaw : 0}
< GPS_RAW_INT {time_usec : 340963000, fix_type : 6, lat : -353630342, lon : 1491649598, alt : 606450, eph : 121, epv : 200, vel : 978, cog : 31214, satellites_visible : 10, alt_ellipsoid : 606450, h_acc : 300, v_acc : 300, vel_acc : 0, hdg_acc : 0, yaw : 0}
< GPS_RAW_INT {time_usec : 341363000, fix_type : 6, lat : -353630105, lon : 1491649276, alt : 606450, eph : 121, epv : 200, vel : 991, cog : 31214, satellites_visible : 10, alt_ellipsoid : 606450, h_acc : 300, v_acc : 300, vel_acc : 0, hdg_acc : 0, yaw : 0}
< GPS_RAW_INT {time_usec : 341563000, fix_type : 6, lat : -353629985, lon : 1491649114, alt : 606460, eph : 121, epv : 200, vel : 996, cog : 31215, satellites_visible : 10, alt_ellipsoid : 606460, h_acc : 300, v_acc : 300, vel_acc : 0, hdg_acc : 0, yaw : 0}
< GPS_RAW_INT {time_usec : 341763000, fix_type : 6, lat : -353629865, lon : 1491648951, alt : 606460, eph : 121, epv : 200, vel : 1000, cog : 31215, satellites_visible : 10, alt_ellipsoid : 606460, h_acc : 300, v_acc : 300, vel_acc : 0, hdg_acc : 0, yaw : 0}
AP: GPS Glitch or Compass error
< GPS_RAW_INT {time_usec : 341963000, fix_type : 6, lat : -353629744, lon : 1491648787, alt : 606460, eph : 121, epv : 200, vel : 1003, cog : 31215, satellites_visible : 10, alt_ellipsoid : 606460, h_acc : 300, v_acc : 300, vel_acc : 0, hdg_acc : 0, yaw : 0}
< GPS_RAW_INT {time_usec : 342363000, fix_type : 6, lat : -353629501, lon : 1491648458, alt : 606460, eph : 121, epv : 200, vel : 1008, cog : 31214, satellites_visible : 10, alt_ellipsoid : 606460, h_acc : 300, v_acc : 300, vel_acc : 0, hdg_acc : 0, yaw : 0}
< GPS_RAW_INT {time_usec : 342563000, fix_type : 6, lat : -353629379, lon : 1491648293, alt : 606460, eph : 121, epv : 200, vel : 1010, cog : 31213, satellites_visible : 10, alt_ellipsoid : 606460, h_acc : 300, v_acc : 300, vel_acc : 0, hdg_acc : 0, yaw : 0}
< GPS_RAW_INT {time_usec : 342763000, fix_type : 6, lat : -353629258, lon : 1491648128, alt : 606460, eph : 121, epv : 200, vel : 1011, cog : 31212, satellites_visible : 10, alt_ellipsoid : 606460, h_acc : 300, v_acc : 300, vel_acc : 0, hdg_acc : 0, yaw : 0}
< GPS_RAW_INT {time_usec : 342963000, fix_type : 6, lat : -353629136, lon : 1491647962, alt : 606460, eph : 121, epv : 200, vel : 1012, cog : 31212, satellites_visible : 10, alt_ellipsoid : 606460, h_acc : 300, v_acc : 300, vel_acc : 0, hdg_acc : 0, yaw : 0}
< GPS_RAW_INT {time_usec : 343363000, fix_type : 6, lat : -353628891, lon : 1491647631, alt : 606460, eph : 121, epv : 200, vel : 1014, cog : 31211, satellites_visible : 10, alt_ellipsoid : 606460, h_acc : 300, v_acc : 300, vel_acc : 0, hdg_acc : 0, yaw : 0}
< GPS_RAW_INT {time_usec : 343563000, fix_type : 6, lat : -353628769, lon : 1491647466, alt : 606470, eph : 121, epv : 200, vel : 1014, cog : 31210, satellites_visible : 10, alt_ellipsoid : 606470, h_acc : 300, v_acc : 300, vel_acc : 0, hdg_acc : 0, yaw : 0}
< GPS_RAW_INT {time_usec : 343763000, fix_type : 6, lat : -353628647, lon : 1491647300, alt : 606470, eph : 121, epv : 200, vel : 1014, cog : 31209, satellites_visible : 10, alt_ellipsoid : 606470, h_acc : 300, v_acc : 300, vel_acc : 0, hdg_acc : 0, yaw : 0}
< GPS_RAW_INT {time_usec : 343963000, fix_type : 6, lat : -353628525, lon : 1491647133, alt : 606470, eph : 121, epv : 200, vel : 1014, cog : 31208, satellites_visible : 10, alt_ellipsoid : 606470, h_acc : 300, v_acc : 300, vel_acc : 0, hdg_acc : 0, yaw : 0}
< GPS_RAW_INT {time_usec : 344363000, fix_type : 6, lat : -353628280, lon : 1491646802, alt : 606470, eph : 121, epv : 200, vel : 1012, cog : 31207, satellites_visible : 10, alt_ellipsoid : 606470, h_acc : 300, v_acc : 300, vel_acc : 0, hdg_acc : 0, yaw : 0}
< GPS_RAW_INT {time_usec : 344563000, fix_type : 6, lat : -353628158, lon : 1491646636, alt : 606470, eph : 121, epv : 200, vel : 1012, cog : 31207, satellites_visible : 10, alt_ellipsoid : 606470, h_acc : 300, v_acc : 300, vel_acc : 0, hdg_acc : 0, yaw : 0}
< GPS_RAW_INT {time_usec : 344763000, fix_type : 6, lat : -353628037, lon : 1491646471, alt : 606470, eph : 121, epv : 200, vel : 1011, cog : 31207, satellites_visible : 10, alt_ellipsoid : 606470, h_acc : 300, v_acc : 300, vel_acc : 0, hdg_acc : 0, yaw : 0}
< GPS_RAW_INT {time_usec : 344963000, fix_type : 6, lat : -353627915, lon : 1491646305, alt : 606470, eph : 121, epv : 200, vel : 1010, cog : 31207, satellites_visible : 10, alt_ellipsoid : 606470, h_acc : 300, v_acc : 300, vel_acc : 0, hdg_acc : 0, yaw : 0}
< GPS_RAW_INT {time_usec : 345363000, fix_type : 6, lat : -353627672, lon : 1491645975, alt : 606470, eph : 121, epv : 200, vel : 1008, cog : 31208, satellites_visible : 10, alt_ellipsoid : 606470, h_acc : 300, v_acc : 300, vel_acc : 0, hdg_acc : 0, yaw : 0}
