time_usec,lat,lon,alt,record_type,event
365763000,-35.3618161,149.1631719,606.43,gps,
365963000,-35.3618163,149.1631724,606.43,gps,
366363000,-35.3618168,149.1631732,606.43,gps,
366563000,-35.3618171,149.1631737,606.43,gps,
366763000,-35.3618173,149.163174,606.43,gps,
366963000,-35.3618175,149.1631744,606.43,gps,
367363000,-35.3618179,149.1631751,606.43,gps,
367563000,-35.3618181,149.1631754,606.43,gps,
367763000,-35.3618183,149.1631757,606.43,gps,
367963000,-35.3618184,149.163176,606.43,gps,
368363000,-35.3618187,149.1631764,606.44,gps,
368563000,-35.3618188,149.1631765,606.44,gps,
368763000,-35.3618189,149.1631767,606.44,gps,
368963000,-35.361819,149.1631769,606.44,gps,
369363000,-35.3618192,149.1631771,606.44,gps,
369563000,-35.3618192,149.1631772,606.44,gps,
369763000,-35.3618193,149.1631772,606.44,gps,
369963000,-35.3618194,149.1631773,606.44,gps,
370363000,-35.3618195,149.1631774,606.44,gps,
370563000,-35.3618195,149.1631774,606.44,gps,
370763000,-35.3618196,149.1631775,606.44,gps,
370963000,-35.3618196,149.1631775,606.44,gps,
371363000,-35.3618197,149.1631775,606.44,gps,
371563000,-35.3618197,149.1631775,606.44,gps,
371763000,-35.3618197,149.1631775,606.43,gps,
371963000,-35.3618197,149.1631775,606.43,gps,
372363000,-35.3618198,149.1631777,606.43,gps,
372563000,-35.3618198,149.1631777,606.43,gps,
372763000,-35.3618198,149.1631777,606.43,gps,
372963000,-35.3618199,149.1631777,606.43,gps,
373363000,-35.3618199,149.1631778,606.43,gps,
373563000,-35.3618199,149.1631778,606.43,gps,
373763000,-35.3618199,149.1631778,606.43,gps,
373963000,-35.3618199,149.1631778,606.43,gps,
374363000,-35.36182,149.1631778,606.44,gps,
374563000,-35.36182,149.1631778,606.44,gps,
374763000,-35.36182,149.1631778,606.44,gps,
374963000,-35.36182,149.1631779,606.44,gps,
375363000,-35.36182,149.1631779,606.44,gps,
375563000,-35.36182,149.1631779,606.44,gps,
375763000,-35.36182,149.1631779,606.44,gps,
375963000,-35.36182,149.1631779,606.44,gps,
376363000,-35.3618201,149.1631779,606.44,gps,
376563000,-35.3618201,149.1631779,606.44,gps,
376763000,-35.3618201,149.1631779,606.44,gps,
376963000,-35.3618201,149.1631779,606.44,gps,
377363000,-35.3618201,149.1631779,606.44,gps,
377563000,-35.3618201,149.1631779,606.44,gps,
377763000,-35.3618201,149.1631779,606.44,gps,
377963000,-35.3618201,149.1631779,606.44,gps,
378363000,-35.3618201,149.1631779,606.44,gps,
378563000,-35.3618201,149.1631779,606.44,gps,
378763000,-35.3618201,149.1631779,606.44,gps,
378963000,-35.3618201,149.1631779,606.44,gps,
379363000,-35.3618201,149.1631779,606.44,gps,
379563000,-35.3618201,149.163178,606.44,gps,
379763000,-35.3618201,149.163178,606.44,gps,
379963000,-35.3618202,149.163178,606.44,gps,
380363000,-35.3618202,149.163178,606.44,gps,
380563000,-35.3618202,149.163178,606.44,gps,
380763000,-35.3618202,149.163178,606.44,gps,
380963000,-35.3618202,149.163178,606.44,gps,
381363000,-35.3618202,149.163178,606.44,gps,
381563000,-35.3618202,149.163178,606.44,gps,
381763000,-35.3618202,149.163178,606.44,gps,
381963000,-35.3618202,149.163178,606.44,gps,
382363000,-35.3618202,149.163178,606.44,gps,
382563000,-35.3618202,149.163178,606.44,gps,
382763000,-35.3618202,149.163178,606.44,gps,
382963000,-35.3618202,149.163178,606.44,gps,
383363000,-35.3618202,149.163178,606.44,gps,
383563000,-35.3618202,149.163178,606.44,gps,
383763000,-35.3618202,149.163178,606.44,gps,
383963000,-35.3618202,149.163178,606.44,gps,
384363000,-35.3618202,149.163178,606.44,gps,
384563000,-35.3618202,149.163178,606.44,gps,
384763000,-35.3618202,149.163178,606.44,gps,
384963000,-35.3618202,149.163178,606.44,gps,
385363000,-35.3618202,149.163178,606.44,gps,
385563000,-35.3618202,149.163178,606.44,gps,
385763000,-35.3618202,149.163178,606.44,gps,
385963000,-35.3618202,149.163178,606.44,gps,
386363000,-35.3618201,149.163178,606.44,gps,
386563000,-35.3618201,149.163178,606.44,gps,
386763000,-35.3618201,149.163178,606.44,gps,
386963000,-35.3618201,149.163178,606.44,gps,
