glitch_x,glitch_y,lat,lon
0.0,5e-06,-35.3632621,149.1652423
0.0,1e-05,-35.3632621,149.1652473
0.0,1.5e-05,-35.3632621,149.1652523
0.0,2e-05,-35.3632621,149.1652573
0.0,2.5e-05,-35.3632621,149.1652623
0.0,3e-05,-35.3632621,149.1652673
